A sparse matrix
cols: 150, rows: 150
nonzeros: 1488
(88, 127, 0.475112)
(88, 130, 1.4692)
(88, 133, -1.46398)
(88, 136, -2.32512)
(89, 11, -3.06082)
(89, 26, -1.26326)
(89, 62, -0.743951)
(89, 80, -2.69173)
(89, 86, -1.44138)
(89, 89, 13.403)
(89, 104, -2.35711)
(89, 128, 0.475112)
(89, 131, 1.4692)
(89, 134, -1.46398)
(89, 137, -2.32512)
(90, 15, -0.707413)
(90, 27, -0.505269)
(90, 63, -0.135287)
(90, 69, -1.03154)
(90, 90, 8.47357)
(90, 93, -1.94111)
(90, 108, -0.290145)
(90, 144, -1.91874)
(90, 147, -1.94406)
(91, 16, -0.707413)
(91, 28, -0.505269)
(91, 64, -0.135287)
(91, 70, -1.03154)
(91, 91, 8.47357)
(91, 94, -1.94111)
(91, 109, -0.290145)
(91, 145, -1.91874)
(91, 148, -1.94406)
(92, 17, -0.707413)
(92, 29, -0.505269)
(92, 65, -0.135287)
(92, 71, -1.03154)
(92, 92, 8.47357)
(92, 95, -1.94111)
(92, 110, -0.290145)
(92, 146, -1.91874)
(92, 149, -1.94406)
(93, 12, -1.45981)
(93, 27, -2.81285)
(93, 63, -2.06658)
(93, 84, -1.67696)
(93, 90, -1.94111)
(93, 93, 12.1825)
(93, 105, -0.892658)
(93, 132, -0.330001)
(93, 135, -1.69054)
(93, 144, -0.318174)
(93, 147, 1.00619)
(94, 13, -1.45981)
(94, 28, -2.81285)
(94, 64, -2.06658)
(94, 85, -1.67696)
(94, 91, -1.94111)
(94, 94, 12.1825)
(94, 106, -0.892658)
(94, 133, -0.330001)
(94, 136, -1.69054)
(94, 145, -0.318174)
(94, 148, 1.00619)
(95, 14, -1.45981)
(95, 29, -2.81285)
(95, 65, -2.06658)
(95, 86, -1.67696)
(95, 92, -1.94111)
(95, 95, 12.1825)
(95, 107, -0.892658)
(95, 134, -0.330001)
(95, 137, -1.69054)
(95, 146, -0.318174)
(95, 149, 1.00619)
(96, 18, -0.499856)
(96, 30, -0.833391)
(96, 66, -0.446359)
(96, 75, -0.290142)
(96, 96, 8.52671)
(96, 111, -0.192632)
(96, 114, -0.331348)
(96, 141, -5.93298)
(97, 19, -0.499856)
(97, 31, -0.833391)
(97, 67, -0.446359)
(97, 76, -0.290142)
(97, 97, 8.52671)
(97, 112, -0.192632)
(97, 115, -0.331348)
(97, 142, -5.93298)
(98, 20, -0.499856)
(98, 32, -0.833391)
(98, 68, -0.446359)
(98, 77, -0.290142)
(98, 98, 8.52671)
(98, 113, -0.192632)
(98, 116, -0.331348)
(98, 143, -5.93298)
(99, 18, -1.46242)
(99, 21, -0.525081)
(99, 72, -0.8932)
(99, 81, -0.371366)
(99, 99, 8.30962)
(99, 111, -0.458655)
(99, 117, -0.179836)
(99, 129, -4.41906)
(100, 19, -1.46242)
(100, 22, -0.525081)
(100, 73, -0.8932)
(100, 82, -0.371366)
(100, 100, 8.30962)
(100, 112, -0.458655)
(100, 118, -0.179836)
(100, 130, -4.41906)
